cresta_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,1.0,0.25,0.0,0.5,0.25,0.5,0.25,0.0,0.0,0.0,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.0,0.0,0.5,0.0,0.0,0.5
2,0.25,1.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25
3,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25
4,0.5,0.25,0.0,1.0,0.25,0.25,0.25,0.0,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.0,0.25,0.25,0.5,0.0,0.25
5,0.25,0.0,0.0,0.25,1.0,0.5,0.25,0.0,0.0,0.0,0.75,0.25,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
6,0.5,0.25,0.0,0.25,0.5,1.0,0.25,0.0,0.0,0.0,0.5,0.25,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25
7,0.25,0.0,0.0,0.25,0.25,0.25,1.0,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25
8,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
9,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.25,0.0,0.25,0.25,0.5,0.25,0.0,0.25,0.0,0.25,0.5,0.0,0.25,0.0,0.0
10,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0.5,0.0,0.0
11,0.25,0.0,0.0,0.25,0.75,0.5,0.25,0.0,0.0,0.0,1.0,0.25,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0
12,0.5,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.0,0.25,1.0,0.0,0.5,0.5,0.25,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.5,0.25
13,0.5,0.0,0.0,0.25,0.75,0.5,0.25,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0
14,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.5,0.0,1.0,0.75,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.25
15,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.5,0.0,0.75,1.0,0.25,0.25,0.25,0.25,0.0,0.0,0.5,0.25,0.25,0.25,0.25
16,0.25,0.25,0.75,0.25,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.25,0.0,0.25,0.25,1.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.25
17,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0
18,0.5,0.25,0.0,0.5,0.75,0.5,0.25,0.0,0.0,0.0,0.75,0.25,0.75,0.0,0.25,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.25
19,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,1.0,0.25,0.0,0.25,0.0,0.0,0.25,0.5
20,0.25,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.5
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.25,0.0,0.25,0.5,0.25,0.25,0.0,0.25,0.0,0.0,1.0,0.0,0.5,0.0,0.0
23,0.5,0.0,0.0,0.25,0.5,0.25,0.5,0.25,0.0,0.0,0.5,0.25,0.75,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.25
26,0.5,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.25,1.0
