Zone,AT,BE,BG,CH,CZ,DE,FR,IT,HU,PL,RO,SI,SK,UK
1,0.1,0.3,1.3,2.0,0.6,1.5,1.9,8.0,0.6,0.4,1.3,1.3,1.5,1.3
2,0.1,1.0,2.8,1.8,1.6,0.8,1.1,2.4,4.2,0.1,2.0,1.2,1.0,0.5
3,0.5,0.5,0.0,1.8,0.5,0.5,1.1,1.2,4.9,0.1,1.3,0.8,0.8,1.5
4,0.0,3.5,2.6,1.8,0.4,1.5,0.5,0.8,0.5,1.7,2.6,2.7,3.8,7.8
5,0.9,3.8,0.2,1.8,0.9,2.5,0.3,1.6,0.3,0.8,2.0,0.6,0.2,10.5
6,4.0,0.5,0.1,3.3,1.5,1.3,0.2,2.0,0.1,0.7,0.7,1.1,0.3,5.8
7,0.4,0.5,0.1,1.3,1.4,0.5,0.7,4.8,0.3,2.4,0.7,1.8,1.5,1.3
8,0.2,1.0,0.5,1.3,1.6,0.3,1.3,0.0,1.0,1.0,11.9,1.5,1.5,3.3
9,0.5,2.8,0.3,4.2,1.7,1.0,0.6,0.0,1.2,0.8,0.7,0.9,1.5,1.3
10,1.0,,0.8,3.0,0.5,1.3,1.3,0.0,3.4,2.5,0.7,0.1,0.0,2.3
11,0.2,,0.1,3.0,1.1,1.8,1.4,4.8,0.8,1.0,2.0,1.7,0.0,6.0
12,0.3,,0.7,3.0,1.6,2.0,0.4,0.0,0.1,2.0,3.3,,0.0,0.0
13,0.3,,0.4,1.5,1.6,0.8,6.1,2.4,0.2,2.6,2.0,,0.5,4.3
14,0.5,,0.2,3.8,1.5,0.8,1.1,0.4,1.4,2.2,2.0,,0.0,2.8
15,0.9,,0.2,4.5,2.7,0.3,0.3,2.0,3.2,1.2,1.3,,0.2,7.0
16,0.4,,0.0,1.3,2.5,0.3,1.1,2.4,2.3,0.0,2.0,,2.1,2.0
17,1.4,,0.1,2.8,4.5,1.3,2.2,0.0,0.4,1.8,3.3,,1.1,1.5
18,2.6,,2.5,1.8,1.1,2.3,1.3,0.8,0.6,1.3,4.0,,1.3,1.5
19,3.6,,0.8,2.5,1.8,4.5,0.4,0.8,4.9,1.4,3.3,,0.9,2.0
20,2.2,,0.9,2.0,2.3,2.0,0.0,0.0,4.8,1.8,0.7,,0.3,2.8
21,0.5,,7.5,2.0,1.7,0.8,1.6,3.2,3.1,0.0,0.7,,2.8,3.0
22,1.6,,4.2,5.0,1.5,0.3,0.3,0.0,2.8,1.3,3.3,,2.7,2.5
23,1.0,,0.8,1.5,1.6,0.5,0.3,1.6,0.3,0.7,4.6,,0.1,3.3
24,3.6,,0.8,3.3,2.1,2.0,1.0,1.6,4.0,1.4,2.0,,0.0,1.3
25,1.8,,7.5,1.5,2.0,2.3,0.7,3.2,,3.1,3.3,,,4.0
26,0.8,,5.8,1.8,2.2,2.5,1.1,1.6,,0.2,2.0,,,5.5
27,2.0,,3.3,,3.1,4.3,1.2,3.2,,0.8,1.3,,,8.5
28,2.4,,2.5,,1.1,2.8,0.5,3.2,,3.6,2.0,,,3.0
29,0.7,,3.3,,2.9,2.3,0.3,0.0,,5.9,4.0,,,1.3
30,4.4,,,,1.7,0.8,3.0,0.8,,0.8,0.7,,,1.3
31,2.0,,,,1.3,0.3,1.6,4.8,,0.6,3.3,,,2.0
32,3.3,,,,1.1,1.8,1.3,4.8,,0.1,2.6,,,2.5
33,0.9,,,,2.0,1.0,2.8,1.6,,5.9,1.3,,,0.3
34,4.6,,,,2.2,0.3,1.7,2.4,,9.8,1.3,,,3.5
35,1.5,,,,1.4,3.0,0.7,0.0,,7.3,4.6,,,3.0
36,0.3,,,,1.8,2.3,0.7,2.4,,0.5,2.0,,,2.8
37,0.4,,,,2.6,2.5,2.0,1.2,,2.2,7.9,,,2.8
38,4.4,,,,2.6,3.3,1.4,6.4,,7.3,2.0,,,3.3
39,1.2,,,,0.8,1.0,1.7,2.4,,10.6,1.3,,,3.5
40,0.4,,,,1.0,0.8,1.7,1.2,,5.4,2.6,,,1.8
41,0.2,,,,3.9,0.3,1.4,6.4,,0.0,1.3,,,2.5
42,0.3,,,,4.2,0.3,0.7,1.2,,0.7,,,,0.0
43,0.1,,,,1.2,2.0,0.4,0.8,,1.7,,,,3.0
44,0.2,,,,1.5,3.8,1.9,0.8,,3.1,,,,7.5
45,0.6,,,,0.8,3.5,1.7,1.6,,0.3,,,,2.8
46,0.1,,,,1.1,2.0,0.8,4.8,,2.8,,,,1.0
47,0.1,,,,0.7,4.5,2.3,3.2,,1.1,,,,19.5
48,1.5,,,,3.6,2.5,0.2,0.4,,5.6,,,,0.5
49,0.1,,,,2.1,0.3,2.5,1.6,,2.2,,,,3.0
50,2.4,,,,1.9,3.3,0.9,3.6,,3.0,,,,5.8
51,2.8,,,,1.0,2.0,1.1,0.8,,1.1,,,,3.3
52,0.4,,,,2.2,4.3,0.6,3.2,,2.1,,,,0.0
53,0.3,,,,1.2,6.0,0.4,0.4,,0.3,,,,2.0
54,0.0,,,,2.8,0.3,1.0,0.0,,0.1,,,,2.5
55,0.1,,,,3.5,1.0,1.2,0.8,,0.2,,,,0.0
56,0.1,,,,1.9,0.8,0.7,4.8,,4.9,,,,4.0
57,0.1,,,,4.8,1.5,1.0,0.0,,4.9,,,,3.8
58,0.3,,,,3.3,0.3,1.3,0.0,,2.3,,,,1.0
59,0.9,,,,2.4,3.8,0.9,0.8,,4.6,,,,1.8
60,0.1,,,,,1.3,1.0,0.0,,7.0,,,,2.0
61,0.1,,,,,3.3,0.5,0.4,,0.1,,,,10.0
62,0.1,,,,,2.3,0.8,0.8,,0.9,,,,13.3
63,0.1,,,,,4.0,0.7,0.0,,0.9,,,,2.8
64,0.4,,,,,3.0,0.9,0.8,,1.7,,,,2.8
65,1.1,,,,,1.5,1.2,4.0,,3.0,,,,0.8
66,0.5,,,,,0.5,0.8,1.6,,0.1,,,,8.5
67,0.9,,,,,0.3,4.3,2.4,,2.9,,,,1.0
68,0.0,,,,,1.5,2.9,3.2,,4.6,,,,6.0
69,0.0,,,,,0.5,1.6,1.2,,4.6,,,,4.3
70,0.0,,,,,1.3,1.5,0.8,,8.8,,,,3.3
71,0.0,,,,,0.8,1.9,0.0,,1.9,,,,2.0
72,0.0,,,,,3.5,1.4,1.6,,1.2,,,,2.0
73,0.0,,,,,1.0,0.9,1.2,,2.2,,,,2.0
74,0.0,,,,,0.5,0.5,3.2,,1.6,,,,6.8
75,0.0,,,,,1.0,6.2,6.4,,8.8,,,,1.5
76,0.0,,,,,0.8,1.1,1.2,,0.1,,,,4.5
77,0.1,,,,,0.5,1.3,2.4,,0.3,,,,1.3
78,,,,,,1.0,1.2,1.6,,0.6,,,,2.0
79,,,,,,3.0,0.7,1.6,,1.6,,,,3.8
80,,,,,,2.3,0.8,0.8,,1.5,,,,2.5
81,,,,,,2.3,0.5,1.2,,0.1,,,,2.8
82,,,,,,3.0,2.5,0.0,,12.6,,,,2.0
83,,,,,,1.3,0.7,0.0,,3.9,,,,5.5
84,,,,,,0.5,2.7,3.2,,0.1,,,,0.8
85,,,,,,1.3,2.0,0.0,,0.8,,,,1.3
86,,,,,,0.3,0.8,0.8,,2.1,,,,2.5
87,,,,,,1.0,0.3,1.2,,0.9,,,,2.0
88,,,,,,0.8,0.6,0.8,,2.4,,,,2.8
89,,,,,,1.5,0.9,1.6,,1.9,,,,1.5
90,,,,,,2.3,0.8,0.0,,0.1,,,,4.5
91,,,,,,0.5,1.0,0.0,,0.2,,,,6.5
92,,,,,,2.5,6.1,1.2,,0.1,,,,1.5
93,,,,,,5.0,1.4,,,0.2,,,,1.5
94,,,,,,0.8,5.0,,,0.1,,,,3.5
95,,,,,,2.0,1.1,,,1.2,,,,2.8
96,,,,,,,,,,0.8,,,,1.0
97,,,,,,,,,,0.8,,,,2.5
98,,,,,,,,,,1.3,,,,1.8
99,,,,,,,,,,2.1,,,,2.0
100,,,,,,,,,,,,,,1.0
101,,,,,,,,,,,,,,1.5
102,,,,,,,,,,,,,,1.0
103,,,,,,,,,,,,,,1.5
104,,,,,,,,,,,,,,3.5
105,,,,,,,,,,,,,,3.0
106,,,,,,,,,,,,,,13.3
107,,,,,,,,,,,,,,1.0
108,,,,,,,,,,,,,,3.0
109,,,,,,,,,,,,,,3.8
110,,,,,,,,,,,,,,0.8
111,,,,,,,,,,,,,,3.8
112,,,,,,,,,,,,,,2.8
113,,,,,,,,,,,,,,1.5
114,,,,,,,,,,,,,,1.3
115,,,,,,,,,,,,,,6.8
116,,,,,,,,,,,,,,0.3
117,,,,,,,,,,,,,,0.3
118,,,,,,,,,,,,,,5.0
119,,,,,,,,,,,,,,3.8
120,,,,,,,,,,,,,,3.5
121,,,,,,,,,,,,,,2.0
122,,,,,,,,,,,,,,2.3
123,,,,,,,,,,,,,,2.3
124,,,,,,,,,,,,,,0.5
