Zone,AT,BE,CH,CZ,ES,DE,FR,IT,LU,NL,SI
1,3.1,2.8,2.8,4.1,7.5,0.5,12.6,3.7,1.0,4.0,3.7
2,3.4,2.7,1.6,4.7,1.7,0.0,1.9,3.7,,5.8,2.7
3,1.8,2.0,0.3,5.1,6.7,0.0,5.7,3.7,,5.3,2.1
4,23.6,3.1,2.1,5.7,0.0,0.8,8.7,0.0,,1.4,3.6
5,0.2,2.0,6.7,4.6,1.7,0.4,5.4,0.0,,6.6,2.8
6,1.9,3.9,4.0,4.5,3.3,2.7,3.9,0.8,,0.1,2.1
7,8.3,2.0,0.1,5.1,16.7,0.4,12.3,0.8,,0.3,3.5
8,0.3,2.8,0.2,5.2,2.5,0.8,2.7,0.0,,2.9,3.0
9,1.4,2.4,1.5,5.0,1.7,0.2,27.6,0.0,,9.6,3.6
10,0.8,,0.3,3.8,0.0,0.1,1.7,0.0,,0.1,3.1
11,3.1,,6.1,2.7,7.5,0.9,6.8,10.8,,6.1,2.6
12,2.8,,3.0,3.2,0.0,0.1,8.7,10.8,,2.8,
13,1.0,,0.1,3.0,0.0,0.0,2.8,10.8,,2.0,
14,17.4,,2.7,2.7,6.7,0.1,0.3,10.8,,0.6,
15,0.2,,4.4,4.1,1.7,0.0,3.7,10.8,,0.2,
16,0.9,,0.3,4.5,10.0,0.0,8.5,10.8,,2.0,
17,1.7,,1.4,4.3,5.0,0.2,0.6,10.8,,0.1,
18,1.4,,1.9,4.9,2.5,0.0,7.2,10.8,,0.1,
19,0.3,,5.9,3.0,10.0,0.1,12.4,10.8,,3.4,
20,0.3,,0.5,2.8,0.0,0.0,2.5,10.8,,1.5,
21,0.4,,1.3,3.4,3.3,0.0,8.1,7.5,,5.6,
22,1.1,,1.3,4.2,3.3,0.0,0.1,7.5,,0.5,
23,0.2,,1.4,2.7,3.3,0.0,10.2,7.5,,0.5,
24,5.3,,1.2,2.3,6.7,5.5,2.0,7.5,,4.2,
25,15.9,,1.3,2.6,5.0,0.5,8.3,7.5,,1.4,
26,5.8,,4.9,3.2,3.3,0.1,25.3,7.5,,11.6,
27,1.6,,,2.9,8.4,0.1,1.0,7.5,,12.0,
28,3.8,,,3.2,0.0,3.3,4.7,7.5,,1.3,
29,5.4,,,4.6,5.0,1.7,0.0,10.8,,4.3,
30,7.9,,,3.4,6.7,3.1,3.6,7.5,,2.6,
31,16.5,,,3.9,3.3,17.4,14.0,3.3,,0.4,
32,5.6,,,2.8,6.7,1.8,7.7,3.3,,13.4,
33,5.9,,,3.2,2.5,2.0,5.8,3.3,,12.0,
34,2.4,,,2.8,6.7,1.7,0.3,3.3,,0.3,
35,2.7,,,2.8,1.7,2.1,0.2,3.3,,3.2,
36,14.1,,,4.3,10.0,2.2,1.3,3.3,,0.2,
37,0.4,,,2.9,2.5,6.1,7.6,3.3,,10.6,
38,3.5,,,4.1,0.0,19.7,10.6,3.3,,3.4,
39,6.1,,,3.0,2.5,5.4,11.6,3.3,,3.1,
40,3.1,,,3.7,7.5,7.9,2.8,3.3,,0.2,
41,10.4,,,4.8,2.5,3.7,2.3,7.5,,5.9,
42,5.4,,,4.6,3.3,3.5,10.4,7.5,,7.2,
43,1.1,,,4.2,6.7,3.0,4.8,7.5,,3.8,
44,5.9,,,3.8,3.3,9.8,0.1,7.5,,3.5,
45,11.3,,,5.0,12.5,3.4,3.4,7.5,,3.9,
46,4.5,,,3.2,1.7,2.7,12.2,3.3,,3.2,
47,0.3,,,2.3,6.7,13.2,18.1,7.5,,1.2,
48,3.3,,,2.8,0.1,11.9,13.7,7.5,,2.5,
49,1.3,,,2.7,0.5,8.7,2.1,7.5,,0.6,
50,2.1,,,4.0,1.2,13.9,1.9,3.7,,4.7,
51,11.4,,,4.5,,11.2,6.4,3.7,,2.9,
52,2.7,,,5.0,,2.1,10.9,3.7,,4.6,
53,0.2,,,3.0,,6.0,4.7,3.7,,0.3,
54,0.4,,,3.2,,5.0,2.0,3.7,,2.4,
55,7.9,,,3.0,,3.3,0.8,3.7,,5.8,
56,0.4,,,3.0,,11.2,0.1,3.7,,2.4,
57,0.2,,,4.1,,0.3,2.7,3.7,,5.2,
58,8.2,,,2.8,,4.3,19.9,3.7,,2.1,
59,3.6,,,2.7,,2.4,1.9,3.7,,8.5,
60,4.7,,,,,3.0,1.9,0.8,,9.7,
61,1.5,,,,,0.7,16.1,0.8,,8.9,
62,3.9,,,,,18.2,1.4,0.8,,0.1,
63,2.6,,,,,5.3,2.6,0.8,,0.1,
64,2.4,,,,,4.9,15.3,0.8,,7.4,
65,4.8,,,,,0.3,20.0,0.8,,4.1,
66,0.8,,,,,8.0,2.0,0.8,,0.8,
67,1.2,,,,,15.3,4.6,0.8,,0.3,
68,0.4,,,,,11.7,12.1,0.0,,3.2,
69,10.7,,,,,7.7,17.1,0.0,,1.5,
70,1.3,,,,,1.7,13.6,0.0,,1.6,
71,4.5,,,,,6.4,12.1,0.0,,2.9,
72,15.0,,,,,5.6,0.7,0.0,,7.1,
73,0.3,,,,,5.0,15.3,0.0,,4.1,
74,1.2,,,,,7.8,9.5,0.0,,1.6,
75,1.3,,,,,8.0,6.2,0.0,,1.4,
76,0.2,,,,,55.9,0.7,0.0,,0.1,
77,4.2,,,,,41.6,1.9,0.0,,0.4,
78,,,,,,7.9,1.7,0.0,,0.3,
79,,,,,,10.7,1.1,0.0,,0.0,
80,,,,,,8.7,4.6,0.8,,5.1,
81,,,,,,7.8,3.7,0.0,,0.7,
82,,,,,,15.8,20.4,0.0,,0.3,
83,,,,,,5.2,0.6,0.0,,1.0,
84,,,,,,3.2,0.6,0.0,,1.1,
85,,,,,,12.4,1.3,0.0,,5.1,
86,,,,,,9.1,1.3,0.0,,2.5,
87,,,,,,4.2,1.7,0.0,,1.8,
88,,,,,,8.5,3.2,0.0,,0.3,
89,,,,,,3.9,3.3,0.0,,4.4,
90,,,,,,6.4,6.0,0.0,,3.0,
91,,,,,,2.7,2.3,0.0,,,
92,,,,,,3.0,1.0,0.0,,,
93,,,,,,2.5,4.0,,,,
94,,,,,,2.5,0.7,,,,
95,,,,,,1.4,2.3,,,,
